日期,股票,即時價,開盤,最高,最低,收盤,成交量
2026-03-27 02:39:43,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 02:39:43,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 02:39:44,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 02:39:44,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 02:39:44,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 02:39:45,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 02:39:45,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 02:39:45,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 02:39:46,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 02:39:46,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-27 02:39:46,TSLA,372.239990234375,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-27 02:39:46,^DJI,45955.0,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-27 02:40:47,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 02:40:47,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 02:40:48,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 02:40:48,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 02:40:48,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 02:40:49,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 02:40:49,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 02:40:49,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 02:40:50,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 02:40:50,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-27 02:40:51,TSLA,372.239990234375,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-27 02:40:51,^DJI,45955.0,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-27 02:41:51,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 02:41:52,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 02:41:52,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 02:41:52,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 02:41:53,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 02:41:53,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 02:41:54,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 02:41:54,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 02:41:55,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 02:41:55,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-27 02:41:55,TSLA,372.239990234375,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-27 02:41:56,^DJI,45955.0,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-27 02:44:49,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 02:44:50,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 02:44:50,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 02:44:50,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 02:44:51,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 02:44:51,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 02:44:52,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 02:44:52,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 02:44:53,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 02:44:53,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
