日期,股票,即時價,開盤,最高,最低,收盤,成交量
2026-03-25 04:33:24,AAPL,251.75,250.49000549316406,254.8249969482422,249.5500030517578,251.63999938964844,27882961.0
2026-03-25 04:33:25,MSFT,372.75,382.4100036621094,382.4700012207031,371.8500061035156,372.739990234375,40186581.0
2026-03-25 04:33:25,GOOGL,290.4100036621094,299.1099853515625,299.9200134277344,290.3349914550781,290.44000244140625,36679100.0
2026-03-25 04:33:25,NVDA,175.30999755859375,174.76199340820312,176.22000122070312,173.97999572753906,175.1999969482422,142336713.0
2026-03-25 04:33:25,XOM,165.3699951171875,161.7100067138672,167.47000122070312,161.39999389648438,165.3800048828125,26102420.0
2026-03-25 04:33:26,CVX,206.8000030517578,206.0500030517578,209.7899932861328,205.80999755859375,206.7899932861328,16558592.0
2026-03-25 04:33:26,JPM,292.45001220703125,286.1700134277344,295.4800109863281,285.3700866699219,292.3999938964844,7384438.0
2026-03-25 04:33:26,GS,835.969970703125,824.9299926757812,844.489990234375,818.0,835.719970703125,1652450.0
2026-03-25 04:33:27,LMT,610.0800170898438,612.9500122070312,615.2999877929688,605.0001220703125,610.1699829101562,1076671.0
2026-03-25 04:33:27,BA,196.4499969482422,196.11000061035156,197.6199951171875,194.360107421875,196.4199981689453,5641212.0
2026-03-25 04:33:27,TSLA,383.1099853515625,376.69500732421875,387.4700012207031,376.30999755859375,383.0299987792969,59674483.0
2026-03-25 04:33:28,^DJI,46131.171875,46099.859375,46400.8203125,45769.69140625,46124.05859375,474453568.0
