日期,股票,即時價,開盤,最高,最低,收盤,成交量
2026-03-27 02:54:09,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 02:54:09,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 02:54:09,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 02:54:10,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 02:54:10,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 02:54:10,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 02:54:11,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 02:54:11,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 02:54:12,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 02:54:12,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-27 02:54:12,TSLA,372.239990234375,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-27 02:54:13,^DJI,45955.0,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-27 03:06:47,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 03:06:48,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 03:06:48,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 03:06:49,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 03:06:49,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
2026-03-27 03:06:49,CVX,207.77999877929688,206.0,207.24000549316406,204.6199951171875,205.14999389648438,8865000.0
2026-03-27 03:06:50,JPM,291.7099914550781,294.1499938964844,297.6400146484375,292.44000244140625,295.4200134277344,12188200.0
2026-03-27 03:06:50,GS,822.1799926757812,845.010009765625,854.75,833.9000244140625,841.8400268554688,1628900.0
2026-03-27 03:06:51,LMT,627.3900146484375,612.5,626.9299926757812,612.4199829101562,624.2000122070312,1190300.0
2026-03-27 03:06:51,BA,194.38999938964844,198.19000244140625,200.75,198.0,199.61000061035156,5055900.0
2026-03-27 03:06:51,TSLA,372.239990234375,389.989990234375,396.2300109863281,385.010009765625,385.95001220703125,55157300.0
2026-03-27 03:06:52,^DJI,45955.0,46314.23828125,46718.421875,46196.91015625,46429.48828125,462990000.0
2026-03-27 05:37:08,AAPL,252.8800048828125,254.10000610351562,255.0,251.60000610351562,252.6199951171875,28476700.0
2026-03-27 05:37:08,MSFT,365.75,376.9200134277344,377.05999755859375,369.6300048828125,371.0400085449219,31181200.0
2026-03-27 05:37:08,GOOGL,280.95001220703125,293.44000244140625,296.0,289.239990234375,290.92999267578125,29460700.0
2026-03-27 05:37:08,NVDA,171.22999572753906,177.10000610351562,181.22000122070312,176.85000610351562,178.67999267578125,162602100.0
2026-03-27 05:37:09,XOM,165.375,163.8699951171875,165.0,162.92999267578125,163.25999450683594,17192300.0
